air_temp_set_1,relative_humidity_set_1,dew_point_temperature_set_1d,road_temp_set_1,wind_speed_set_1,label
-1.0,46.0,-11.28,-6.633333333,17.52133333,Snow
-1.0,44.66666667,-11.65266667,-7.046666667,15.89,Snow
-1.0,44.4,-11.72933333,-6.913333333,15.07466667,Snow
-1.0,44.2,-11.78133333,-7.113333333,11.07533333,Snow
-1.666666667,47.86666667,-11.38933333,-7.513333333,10.426,Snow
-1.933333333,51.2,-10.79,-7.593333333,11.722,Snow
-1.866666667,51.4,-10.67933333,-7.946666667,12.51866667,Snow
-2.0,54.26666667,-10.11,-8.086666667,13.796,Snow
-2.0,54.4,-10.07866667,-8.733333333,11.076,Snow
-2.0,54.6,-10.03133333,-8.753333333,12.18466667,Snow
-3.0,56.73333333,-10.47733333,-8.806666667,13.07533333,Snow
-3.0,58.26666667,-10.13533333,-9.053333333,13.05533333,Snow
-3.266666667,57.86666667,-10.478,-9.326666667,12.49933333,Snow
-3.933333333,62.0,-10.22333333,-9.773333333,10.09133333,Snow
-3.866666667,64.2,-9.715333333,-9.713333333,12.35066667,Snow
-4.066666667,66.13333333,-9.525333333,-10.02,12.61066667,Snow
-4.133333333,66.46666667,-9.522666667,-10.43333333,8.778666667,Snow
-3.933333333,64.33333333,-9.751333333,-10.47333333,9.742666667,Snow
-4.0,67.06666667,-9.279333333,-10.49333333,10.61133333,Snow
-4.133333333,67.8,-9.266,-10.52,8.832666667,Snow
-5.0,70.4,-9.618,-10.76,7.350666667,Snow
-4.133333333,69.46666667,-8.954666667,-10.64,7.574666667,Snow
-3.533333333,67.73333333,-8.706666667,-10.56,7.926666667,Snow
-4.0,69.73333333,-8.777333333,-10.08666667,6.702666667,Snow
-4.0,68.6,-8.986,-10.02,8.131333333,Snow
-4.533333333,69.13333333,-9.398,-10.20666667,9.222,Snow
-5.0,68.93333333,-9.884,-10.38666667,8.628666667,Snow
-4.733333333,66.73333333,-10.04866667,-10.23333333,9.111333333,Snow
-3.6,61.53333333,-10.00733333,-8.866666667,10.73933333,Snow
-3.0,59.0,-9.978666667,-7.006666667,10.944,Snow
-3.0,61.0,-9.55,-5.06,6.981333333,Snow
-2.4,59.2,-9.382666667,-2.94,5.834666667,Snow
-1.266666667,54.73333333,-9.32,-1.06,8.462666667,Snow
-0.933333333,53.86666667,-9.209333333,1.0,8.298,Snow
-0.066666667,51.53333333,-8.976666667,2.353333333,10.55466667,Snow
0.4,48.66666667,-9.277333333,2.066666667,12.38866667,Snow
